question,n,base_rate,accuracy_at_0.5,ECE,Brier,AUC,corr_with_human_spread
ALL,1600,0.02875,0.82375,0.2092125,0.12111212500000003,0.90567119914946,0.5029968816350872
insult,400,0.0475,0.6125,0.39737500000000003,0.26443725,0.898397568724962,0.43484392709133185
obscene,400,0.0025,0.9925,0.059425000000000006,0.01173425,0.9949874686716792,0.518989922162969
threat,400,0.0025,0.9825,0.041425,0.01424175,0.8045112781954887,0.3470117338162952
toxicity,400,0.0625,0.7075,0.338625,0.19403525,0.8229333333333333,0.45652703134995826
