question,n,base_rate,accuracy_at_0.5,ECE,Brier,AUC,corr_with_human_spread
ALL,1600,0.191875,0.813125,0.157425,0.1359425,0.9025925114182859,0.7313561176333061
insult,400,0.3225,0.61,0.31677500000000003,0.27393375,0.8317457593180583,0.5875903552974188
obscene,400,0.035,0.9575,0.09275,0.039955500000000005,0.9565136935603257,0.6582660518094513
threat,400,0.01,0.975,0.057624999999999996,0.018140749999999997,0.9835858585858586,0.5827481856403877
toxicity,400,0.4,0.71,0.17085,0.21173999999999998,0.7800651041666666,0.5790773719242202
