question,n,base_rate,accuracy_at_0.5,ECE,Brier,AUC,corr_with_human_spread
ALL,1600,0.02875,0.885,0.15606249999999997,0.08268862499999999,0.9117634715460803,0.5460322721330464
insult,400,0.0475,0.765,0.2819000000000001,0.16458550000000002,0.9133858267716536,0.5187445926957833
obscene,400,0.0025,0.99,0.052450000000000004,0.012292,0.9949874686716792,0.4812216899709653
threat,400,0.0025,0.99,0.03145,0.0100395,0.7957393483709273,0.33345559567971594
toxicity,400,0.0625,0.795,0.25845,0.1438375,0.8103466666666667,0.4711499169818749
